"","depth","var","value","conc_rock.ug_g","in_range","ka"
"124",98.9711,"d13c_org",-24.9363069339618,NA,TRUE,751.861547804986
"125",98.7679,"d13c_org",-24.8886951008494,NA,TRUE,757.047165967866
"126",98.59645,"d13c_org",-24.8883497035577,NA,TRUE,761.42670171181
"127",98.39325,"d13c_org",-24.8235831887191,NA,TRUE,766.553075728481
"128",98.1964,"d13c_org",-24.8588696491666,NA,TRUE,771.390410394391
"129",97.99955,"d13c_org",-24.8424303108299,NA,TRUE,776.096976384162
"130",97.8027,"d13c_org",-24.8974352742034,NA,TRUE,780.728903225447
"131",97.5995,"d13c_org",-24.9580696292839,NA,TRUE,785.52034513378
"132",97.3074,"d13c_org",-25.1250157477512,NA,TRUE,792.520858208023
"133",97.1042,"d13c_org",-25.0104129081817,NA,TRUE,797.399032886814
"134",96.90735,"d13c_org",-24.8173806712611,NA,FALSE,802.124764606892
"135",96.71685,"d13c_org",-24.9888462929167,NA,FALSE,806.698053368259
"136",96.51365,"d13c_org",-24.9530271891483,NA,FALSE,811.57622804705
"137",96.3041,"d13c_org",-24.7878636738481,NA,FALSE,816.606845684553
"138",96.1136,"d13c_org",-24.8568314697562,NA,FALSE,821.180134445919
"139",95.9104,"d13c_org",-24.9362912944856,NA,FALSE,826.05830912471
"140",95.70085,"d13c_org",-24.8030794165619,NA,FALSE,831.088926762213
"141",95.51035,"d13c_org",-24.8346864750159,NA,FALSE,835.66221552358
"142",95.3008,"d13c_org",-24.8394986946046,NA,FALSE,840.692833161082
"143",95.123,"d13c_org",-24.6823794694547,NA,FALSE,844.961236005025
"144",94.92615,"d13c_org",-25.0235550043414,NA,FALSE,849.686967725103
"145",94.71025,"d13c_org",-24.9107270358531,NA,FALSE,854.870028321318
"146",94.5134,"d13c_org",-24.7988562474844,NA,FALSE,859.595760041398
"147",124.968,"carb",7.80282354741374,NA,FALSE,-129.009999999996
"148",124.7648,"carb",13.66612,NA,FALSE,-121.429076923072
"149",124.5616,"carb",16.08269,NA,FALSE,-113.84815384615
"150",124.3711,"carb",17.2002186537342,NA,FALSE,-106.741038461535
"151",124.17425,"carb",10.08293,NA,FALSE,-99.3970192307652
"152",123.99645,"carb",11.4254768617482,NA,FALSE,-92.7637115384587
"153",123.79325,"carb",13.887298498331,NA,FALSE,-85.182788461535
"154",123.5964,"carb",16.5025425817466,NA,FALSE,-77.838769230766
"155",123.38685,"carb",15.5651753196648,NA,FALSE,-70.0209423076894
"156",123.2027,"carb",23.0298125934472,NA,FALSE,-63.1507307692282
"157",122.99315,"carb",14.9603489174879,NA,FALSE,-55.3329038461516
"158",122.80265,"carb",17.2512892180684,NA,FALSE,-48.2257884615365
"159",122.58675,"carb",13.9663279201864,NA,FALSE,-40.171057692306
"160",122.4026,"carb",14.3521796964731,NA,FALSE,-33.3008461538448
"161",122.19305,"carb",3.52143191333915,NA,FALSE,-25.4830192307672
"162",122.00255,"carb",5.015425597939,NA,FALSE,-18.3759038461521
"163",121.79935,"carb",3.33996314976096,NA,FALSE,-10.7949807692303
"164",121.59615,"carb",2.98480767902151,NA,FALSE,-3.21405769230751
"165",121.3993,"carb",5.09130211927968,NA,TRUE,4.12996153845961
